time,DDAvg,DDSD,FFAvg,FFMax,FFMin
2017-08-01 00:10:00,182.9,11.65,11.79,21.59,4.508
2017-08-01 00:20:00,180.4,12.85,11.24,18.42,4.769
2017-08-01 00:30:00,181.9,19.83,9.77,16.17,2.189
2017-08-01 00:40:00,178.0,11.77,10.62,16.56,5.521
2017-08-01 00:50:00,186.4,17.99,9.68,16.14,5.325
2017-08-01 01:00:00,177.0,11.76,10.88,18.49,4.083
2017-08-01 01:10:00,177.2,10.74,10.34,16.63,5.357
2017-08-01 01:20:00,180.2,12.41,10.97,17.31,2.907
2017-08-01 01:30:00,175.2,9.23,9.32,17.35,4.802
2017-08-01 01:40:00,181.1,13.69,10.95,18.78,4.933
2017-08-01 01:50:00,182.1,10.6,10.85,18.62,5.553
2017-08-01 02:00:00,178.2,8.72,10.25,15.91,5.619
2017-08-01 02:10:00,180.9,16.14,10.8,17.08,5.455
2017-08-01 02:20:00,171.5,10.69,10.71,16.33,5.096
2017-08-01 02:30:00,177.2,14.35,9.37,14.86,4.965
2017-08-01 02:40:00,178.3,13.9,10.59,17.08,4.247
2017-08-01 02:50:00,180.8,16.94,9.0,15.65,3.234
2017-08-01 03:00:00,177.5,8.73,10.49,18.29,5.619
2017-08-01 03:10:00,179.0,14.26,10.38,16.17,6.7620000000000005
2017-08-01 03:20:00,177.3,12.75,10.41,20.68,4.279
2017-08-01 03:30:00,179.8,9.6,12.27,18.98,7.2189999999999985
2017-08-01 03:40:00,175.6,12.97,12.0,19.93,5.88
2017-08-01 03:50:00,173.4,11.68,12.42,20.16,7.382999999999999
2017-08-01 04:00:00,172.2,10.33,11.19,17.57,7.481
2017-08-01 04:10:00,168.8,12.73,10.03,15.55,4.214
2017-08-01 04:20:00,173.0,13.41,10.2,20.55,4.279
2017-08-01 04:30:00,180.3,8.18,11.7,16.99,6.042999999999998
2017-08-01 04:40:00,176.1,11.54,11.98,18.13,8.17
2017-08-01 04:50:00,176.4,9.47,12.24,17.9,6.305
2017-08-01 05:00:00,174.6,12.48,10.85,16.1,5.357
2017-08-01 05:10:00,180.4,8.93,10.52,16.07,6.3370000000000015
2017-08-01 05:20:00,172.0,11.45,9.14,13.26,4.769
2017-08-01 05:30:00,174.7,10.43,9.14,12.41,5.7170000000000005
2017-08-01 05:40:00,173.3,11.1,8.62,14.54,5.4879999999999995
2017-08-01 05:50:00,174.9,15.09,8.84,15.29,1.666
2017-08-01 06:00:00,174.3,11.68,10.23,15.97,6.925
2017-08-01 06:10:00,177.1,10.45,9.78,15.09,6.566
2017-08-01 06:20:00,170.2,8.9,10.6,17.02,6.435
2017-08-01 06:30:00,176.7,9.42,11.52,17.51,7.481
2017-08-01 06:40:00,175.9,9.21,12.32,18.03,7.252000000000002
2017-08-01 06:50:00,170.4,14.19,11.56,20.22,5.39
2017-08-01 07:00:00,172.5,12.75,10.91,16.82,5.7170000000000005
2017-08-01 07:10:00,174.4,13.88,11.55,18.33,5.619
2017-08-01 07:20:00,172.9,9.35,12.83,20.02,7.121
2017-08-01 07:30:00,174.4,10.05,11.54,17.38,6.37
2017-08-01 07:40:00,170.7,10.77,11.39,16.56,6.468
2017-08-01 07:50:00,172.1,12.86,11.75,17.64,5.063
2017-08-01 08:00:00,170.5,10.07,11.02,15.88,6.9910000000000005
2017-08-01 08:10:00,169.1,12.13,11.18,15.26,7.579
2017-08-01 08:20:00,176.5,7.1370000000000005,9.76,13.26,6.3370000000000015
2017-08-01 08:30:00,171.0,11.46,10.4,15.09,6.3370000000000015
2017-08-01 08:40:00,164.9,9.39,11.67,15.42,8.56
2017-08-01 08:50:00,175.2,8.49,11.12,16.07,7.121
2017-08-01 09:00:00,179.4,7.072,12.59,17.84,7.742000000000001
2017-08-01 09:10:00,175.4,9.27,13.26,18.98,7.546
2017-08-01 09:20:00,178.2,6.0379999999999985,13.04,17.02,8.69
2017-08-01 09:30:00,178.1,9.69,12.9,18.29,8.26
2017-08-01 09:40:00,177.9,8.39,14.45,21.0,8.13
2017-08-01 09:50:00,174.9,9.92,13.07,17.08,8.43
2017-08-01 10:00:00,176.2,7.332000000000002,12.41,17.35,8.26
2017-08-01 10:10:00,178.0,7.145,12.64,16.24,8.98
2017-08-01 10:20:00,181.7,5.392,12.79,17.93,7.742000000000001
2017-08-01 10:30:00,179.8,5.8020000000000005,14.41,19.6,9.15
2017-08-01 10:40:00,179.9,5.009,14.73,20.06,8.95
